"","Team","Opponent","ScoreOff","ScoreDef","TotYardsOff","TotPlaysOff","YdsPlayOff","PassingOff","CmpAttOff","YdsPassOff","RushingOff","RushesOff","YdsRushOff","FirstDownOff","PassOff","RushOff","PenaltyOff","PenaltiesOff","YdsOff","TurnoversOff","FumLostOff","IntThrownOff","TotYardsDef","TotPlaysDef","YdsPlayDef","PassingDef","CmpAttDef","YdsPassDef","RushingDef","RushesDef","YdsRushDef","FirstDownDef","PassDef","RushDef","PenaltyDef","PenaltiesDef","YdsDef","TurnoversDef","FumLostDef","IntThrownDef"
"AC","AC","GAST","37","38","498","76","6.6","403","30-40","10.1","95","36","2.6","26","18","4","4","9","86","1","0","1","566","82","6.9","413","31-49","8.4","153","33","4.6","33","20","10","3","12","99","3","1","2"
"GAST","GAST","AC","38","37","566","82","6.9","413","31-49","8.4","153","33","4.6","33","20","10","3","12","99","3","1","2","498","76","6.6","403","30-40","10.1","95","36","2.6","26","18","4","4","9","86","1","0","1"
"HOW","HOW","AKR","14","41","216","77","2.8","68","12-26","2.6","148","51","2.9","15","9","3","3","5","48","1","1","0","513","72","7.1","396","27-43","9.2","117","29","4.0","24","7","15","2","7","70","0","0","0"
"AKR","AKR","HOW","41","14","513","72","7.1","396","27-43","9.2","117","29","4.0","24","7","15","2","7","70","0","0","0","216","77","2.8","68","12-26","2.6","148","51","2.9","15","9","3","3","5","48","1","1","0"
"WEBST","WEBST","AZST","14","45","308","61","5.0","156","14-29","5.4","152","32","4.8","14","8","5","1","9","74","0","0","0","570","84","6.8","303","24-39","7.8","267","45","5.9","32","20","9","3","4","30","0","0","0"
"AZST","AZST","WEBST","45","14","570","84","6.8","303","24-39","7.8","267","45","5.9","32","20","9","3","4","30","0","0","0","308","61","5.0","156","14-29","5.4","152","32","4.8","14","8","5","1","9","74","0","0","0"
"CHAT","CHAT","CMI","16","20","256","53","4.8","150","13-24","6.3","106","29","3.7","14","7","6","1","5","54","4","0","4","323","72","4.5","173","15-26","6.7","150","46","3.3","20","9","9","2","7","55","1","1","0"
"CMI","CMI","CHAT","20","16","323","72","4.5","173","15-26","6.7","150","46","3.3","20","9","9","2","7","55","1","1","0","256","53","4.8","150","13-24","6.3","106","29","3.7","14","7","6","1","5","54","4","0","4"
"WAKE","WAKE","LAMON","10","17","94","49","1.9","97","12-22","4.4","-3","27","-0.1","5","3","2","0","8","51","1","0","1","352","85","4.1","189","23-41","4.6","163","44","3.7","21","9","11","1","5","25","1","1","0"
"LAMON","LAMON","WAKE","17","10","352","85","4.1","189","23-41","4.6","163","44","3.7","21","9","11","1","5","25","1","1","0","94","49","1.9","97","12-22","4.4","-3","27","-0.1","5","3","2","0","8","51","1","0","1"
"EIL","EIL","MN","20","42","409","96","4.3","310","32-57","5.4","99","39","2.5","27","15","10","2","6","28","3","2","1","338","58","5.8","156","10-18","8.7","182","40","4.6","18","6","11","1","5","50","1","1","0"
"MN","MN","EIL","42","20","338","58","5.8","156","10-18","8.7","182","40","4.6","18","6","11","1","5","50","1","1","0","409","96","4.3","310","32-57","5.4","99","39","2.5","27","15","10","2","6","28","3","2","1"
"BOISE","BOISE","MS","13","35","399","85","4.7","264","36-48","5.5","135","37","3.6","26","12","10","4","9","72","4","0","4","458","70","6.5","387","25-36","10.8","71","34","2.1","22","13","6","3","14","78","3","0","3"
"MS","MS","BOISE","35","13","458","70","6.5","387","25-36","10.8","71","34","2.1","22","13","6","3","14","78","3","0","3","399","85","4.7","264","36-48","5.5","135","37","3.6","26","12","10","4","9","72","4","0","4"
"CAPOLY","CAPOLY","NMST","10","28","265","56","4.7","6","2-7","0.9","259","49","5.3","14","0","13","1","4","21","2","1","1","315","74","4.3","118","18-27","4.4","197","47","4.2","21","8","12","1","3","50","1","0","1"
"NMST","NMST","CAPOLY","28","10","315","74","4.3","118","18-27","4.4","197","47","4.2","21","8","12","1","3","50","1","0","1","265","56","4.7","6","2-7","0.9","259","49","5.3","14","0","13","1","4","21","2","1","1"
"PRESBY","PRESBY","NIL","3","55","127","49","2.6","58","10-18","3.2","69","31","2.2","6","3","2","1","2","12","3","2","1","635","109","5.8","211","19-32","6.6","424","77","5.5","36","10","26","0","6","55","0","0","0"
"NIL","NIL","PRESBY","55","3","635","109","5.8","211","19-32","6.6","424","77","5.5","36","10","26","0","6","55","0","0","0","127","49","2.6","58","10-18","3.2","69","31","2.2","6","3","2","1","2","12","3","2","1"
"RUT","RUT","WAST","41","38","496","70","7.1","281","16-27","10.4","215","43","5.0","22","10","11","1","8","78","1","0","1","538","70","7.7","532","40-56","9.5","6","14","0.4","22","18","1","3","9","77","2","1","1"
"WAST","WAST","RUT","38","41","538","70","7.7","532","40-56","9.5","6","14","0.4","22","18","1","3","9","77","2","1","1","496","70","7.1","281","16-27","10.4","215","43","5.0","22","10","11","1","8","78","1","0","1"
