WL,Date,PF,Opponent,PA,Location,Notes,Year,Team,offName,Home
W,2010-11-13,28,Utah,3,"South Bend, IN",,2010,Notre Dame (IN),University of Notre Dame,1
L,2010-09-02,24,Utah,27,"Pittsburgh, PA",,2010,Pittsburgh (PA),University of Pittsburgh,0
W,2010-09-18,34,Brigham Young (UT),10,"Tallahassee, FL",,2010,Florida St.,Florida State University,1
W,2010-10-16,31,Brigham Young (UT),3,"Fort Worth, TX",,2010,Texas Christian,Texas Christian University,1
W,2010-11-06,47,Utah,7,"Fort Worth, TX",,2010,Texas Christian,Texas Christian University,0
L,2010-10-09,27,Utah,68,"Ames, IA",,2010,Iowa St.,Iowa State University,1
L,2010-12-18,24,Brigham Young (UT),52,"El Paso, TX",,2010,Texas-El Paso,University of Texas-El Paso,1
W,2010-09-04,23,Washington,17,"Provo, UT",,2010,Brigham Young (UT),Brigham Young University,1
L,2010-09-11,14,Air Force (CO),35,"Provo, UT",,2010,Brigham Young (UT),Brigham Young University,0
L,2010-09-18,10,Florida St.,34,"Provo, UT",,2010,Brigham Young (UT),Brigham Young University,0
L,2010-09-25,13,Nevada,27,"Provo, UT",,2010,Brigham Young (UT),Brigham Young University,1
L,2010-10-01,16,Utah St.,31,"Provo, UT",,2010,Brigham Young (UT),Brigham Young University,0
W,2010-10-09,24,San Diego St. (CA),21,"Provo, UT",,2010,Brigham Young (UT),Brigham Young University,1
L,2010-10-16,3,Texas Christian,31,"Provo, UT",,2010,Brigham Young (UT),Brigham Young University,0
W,2010-10-23,25,Wyoming,20,"Provo, UT",,2010,Brigham Young (UT),Brigham Young University,1
W,2010-11-13,49,Colorado St.,10,"Provo, UT",,2010,Brigham Young (UT),Brigham Young University,0
W,2010-11-20,40,New Mexico,7,"Provo, UT",,2010,Brigham Young (UT),Brigham Young University,1
L,2010-11-27,16,Utah,17,"Provo, UT",,2010,Brigham Young (UT),Brigham Young University,0
W,2010-12-18,52,Texas-El Paso,24,"Provo, UT",,2010,Brigham Young (UT),Brigham Young University,1
W,2010-09-11,35,Brigham Young (UT),14,"Air Force Academy, CO",,2010,Air Force (CO),United States Air Force Academy,1
L,2010-10-30,23,Utah,28,"Air Force Academy, CO",,2010,Air Force (CO),United States Air Force Academy,1
L,2010-10-23,6,Utah,59,"Fort Collins, CO",,2010,Colorado St.,Colorado State University,0
L,2010-11-13,10,Brigham Young (UT),49,"Fort Collins, CO",,2010,Colorado St.,Colorado State University,1
W,2010-12-22,26,Utah,3,"Boise, ID",,2010,Boise St. (ID),Boise State University,1
L,2010-09-18,14,Utah,56,"Albuquerque, NM",,2010,New Mexico,University of New Mexico,1
L,2010-11-20,7,Brigham Young (UT),40,"Albuquerque, NM",,2010,New Mexico,University of New Mexico,0
W,2010-10-01,31,Brigham Young (UT),16,"Logan, UT",,2010,Utah St.,Utah State University,1
L,2010-10-16,6,Utah,30,"Laramie, WY",,2010,Wyoming,University of Wyoming,1
L,2010-10-23,20,Brigham Young (UT),25,"Laramie, WY",,2010,Wyoming,University of Wyoming,0
W,2010-09-25,27,Brigham Young (UT),13,"Reno, NV",,2010,Nevada,University of Nevada: Reno,0
L,2010-10-09,21,Brigham Young (UT),24,"San Diego, CA",,2010,San Diego St. (CA),San Diego State University,0
L,2010-11-20,34,Utah,38,"San Diego, CA",,2010,San Diego St. (CA),San Diego State University,1
L,2010-09-25,3,Utah,56,"San Jose, CA",,2010,San Jose St. (CA),San Jose State University,0
L,2010-09-11,10,Utah,38,"Las Vegas, NV",,2010,Nevada-Las Vegas,University of Nevada: Las Vegas,0
L,2010-11-06,7,Brigham Young (UT),55,"Las Vegas, NV",,2010,Nevada-Las Vegas,University of Nevada: Las Vegas,0
L,2010-09-04,17,Brigham Young (UT),23,"Seattle, WA",,2010,Washington,University of Washington,0
W,2010-09-02,27,Pittsburgh (PA),24,"Salt Lake City, UT",,2010,Utah,University of Utah,1
W,2010-09-18,56,New Mexico,14,"Salt Lake City, UT",,2010,Utah,University of Utah,0
W,2010-09-25,56,San Jose St. (CA),3,"Salt Lake City, UT",,2010,Utah,University of Utah,1
W,2010-10-09,68,Iowa St.,27,"Salt Lake City, UT",,2010,Utah,University of Utah,0
W,2010-10-16,30,Wyoming,6,"Salt Lake City, UT",,2010,Utah,University of Utah,0
