"QBName","Team","Class","PRating","Completion","Yardage","Rush_Att","Pass_Att","Pass_Int","Fumbles","Pass_TDs","TDs","GamesPlayed"
"Brendan Nosovitch","South Carolina","FR",388.8,NA,7,1,0,0,0,0,1,0
"Drew Hare","Northern Illinois","FR",239.028571428571,55.5555555555556,110.5,5,9,0,0,2,3,2
"Austin Appleby","Purdue","FR",233.533333333333,83.3333333333333,68,0,6,0,0,1,1,1
"TeDarrius Wiley","South Carolina State","SO",214.2,75,78,2,4,0,0,1,1,1
"Matt McIntosh","Northern Illinois","SO",210.4,100,24.5,6,2,0,0,2,2,3
"Don King III","Sam Houston State","FR",209.2,100,13,0,1,0,0,0,0,0
"Dallas Tidwell","Troy","SO",188.175,75,45.6666666666667,0,16,0,0,2,2,3
"Kendal Thompson","Oklahoma","SO",183.533333333333,50,68,2,4,0,0,1,1,1
"Bryce Petty","Baylor","JR",183.285314685315,65.2360515021459,346.555555555556,53,233,1,6,24,34,9
"Jeremy Johnson","Auburn","FR",175.408333333333,70.7317073170732,93.8,7,41,2,0,6,6,3
"Ryan Williams","Miami (Florida)","JR",175.152941176471,70.9677419354839,117.666666666667,3,31,1,1,3,3,3
"James Knapke","Bowling Green","FR",172.1,57.1428571428571,25.6666666666667,1,7,0,0,1,1,2
"Bart Houston","Wisconsin","FR",167.2,100,8,0,1,0,0,0,0,0
"Jameis Winston","Florida State","FR",166.856426332288,70.8812260536398,308.3,58,261,7,4,28,31,10
"Nick Hirschman","Akron","JR",164.38,53.3333333333333,46.3333333333333,5,15,0,1,3,4,3
"Joe Minden","Stephen F. Austin","SO",163.653333333333,78.5714285714286,122,1,14,0,0,1,1,1
"Marcus Mariota","Oregon","SO",162.981196581197,64.2105263157895,329.6,66,285,0,7,25,34,10
"Cody Stroud","McNeese State","SR",161.847619047619,57.1428571428571,207,0,21,1,0,2,2,1
"Hutson Mason","Georgia","JR",160.875,68.75,160,0,16,1,0,1,1,1
"Dajon Williams","North Texas","FR",160.333333333333,83.3333333333333,55,0,6,0,0,0,0,1
"Tyler Ferguson","Penn State","SO",159.775,66.6666666666667,36.5,1,15,0,1,1,1,3
"Robert Tonyan Jr.","Indiana State","FR",158.628571428571,33.3333333333333,40.5,4,3,0,0,1,1,1
"Eli Jenkins","Jacksonville State","FR",157.76,100,89,5,5,0,0,0,1,1
"Teddy Bridgewater","Louisville","JR",157.117714285714,70.873786407767,306.8,41,309,3,3,24,24,10
"Johnny Manziel","Texas A&M","SO",156.780235294118,73.015873015873,392.4,110,315,11,2,31,39,10
"Zach Mettenberger","LSU","SR",155.910638297872,65.748031496063,262.7,28,254,7,2,20,20,10
"Brion Carnes","Northern Iowa","JR",155,100,25,1,1,0,0,0,0,1
"Vernon Adams","Eastern Washington","SO",151.876595744681,61.9718309859155,423,23,71,1,0,7,9,2
"Jerry Neuheisel","UCLA","FR",151.771428571429,84.6153846153846,61,1,13,0,0,0,0,2
"Sawyer Kollmorgen","Northern Iowa","SO",151.64,75,213,2,28,0,0,2,2,1
"Kenny Guiton","Ohio State","SR",151.52380952381,68.8073394495413,151.428571428571,38,109,2,1,14,19,7
"Bennie Coney","Cincinnati","FR",151.111111111111,85.7142857142857,25,2,7,1,2,1,1,2
"AJ McCarron","Alabama","SR",150.932857142857,67.816091954023,221.8,19,261,5,0,21,21,10
"Mike Fafaul","UCLA","FR",150.4,100,18,0,3,0,0,0,0,1
"Brendon Kay","Cincinnati","SR",149.276677316294,72.4907063197026,250.4,44,269,7,0,20,23,10
"Peter Athens","Towson","SR",149.2,65,199,3,20,1,0,1,2,1
"Jimmy Garoppolo","Eastern Illinois","SR",148.276635514019,68.4210526315789,404.5,12,95,2,0,9,9,2
"JD Sprague","Ohio","FR",148,83.3333333333333,23.75,5,6,0,0,0,1,3
"John David Baker","Abilene Christian","SR",147.296296296296,67.3469387755102,460,5,49,1,0,3,3,1
"Tyler Bolfing","McNeese State","SO",147.2,100,40,1,4,0,0,0,0,1
"Blake Bortles","UCF","JR",147.056774193548,68.0769230769231,290.444444444444,50,260,5,6,19,21,9
"Jared Barnett","Illinois State","JR",146.581818181818,68.9655172413793,283,4,29,1,0,2,2,1
"Aaron Murray","Georgia","SR",145.482037533512,63.8888888888889,304.7,49,324,8,5,22,29,10
"Derek Carr","Fresno State","SR",145.386290322581,69.4623655913979,388.777777777778,31,465,4,1,32,34,9
"Jacob Huesman","Chattanooga","SO",145.248,69.2307692307692,168,12,13,0,0,2,4,1
"Cole Stoudt","Clemson","JR",145.008955223881,79.6296296296296,58.4285714285714,13,54,0,2,4,6,7
"Grant Hedrick","Boise State","JR",144.131111111111,71.1267605633803,132.9,38,142,3,3,10,16,8
"Kory Faulkner","Southern Illinois","SR",144.06511627907,62.5,322,3,40,0,0,3,3,1
"Keith Wenning","Ball State","SR",143.746637744035,63.895486935867,321.181818181818,40,421,6,5,28,33,11
"Michael Colosimo","Cincinnati","JR",142,100,10,0,2,0,0,0,0,1
"Sean Mannion","Oregon State","JR",141.833268101761,67.8423236514523,367.7,29,482,10,6,33,33,10
"Javelle Allen","Arizona","FR",140.742857142857,0,26,6,1,0,0,0,1,3
"Shane Carden","East Carolina","JR",140.627180527383,72.5118483412322,336.3,71,422,7,2,29,36,10
"Dray Joseph","Southern University","SR",140.041025641026,75,274,3,36,1,1,2,2,1
"Matt Joeckel","Texas A&M","JR",140.031578947368,59.4594594594595,73.25,1,37,0,0,2,2,4
"Ron Kellogg III","Nebraska","SR",138.051428571429,67.2131147540984,75.5714285714286,9,61,1,0,4,4,7
"Will Gardner","Louisville","FR",137.764705882353,66.6666666666667,21,5,12,0,2,2,2,5
"Tommy Rees","Notre Dame","SR",137.646006389776,54.4262295081967,244.8,8,305,10,0,24,24,10
"Michael Graham","William & Mary","SR",137.310344827586,66.6666666666667,205,2,27,1,0,1,2,1
"Gray Crow","Miami (Florida)","FR",135.244444444444,75,29,1,8,1,0,1,1,2
"Stephen Morris","Miami (Florida)","SR",135.017667844523,59.3155893536122,232.5,20,263,11,0,16,16,10
"Keith Price","Washington","SR",133.996765498652,64.8387096774194,271.7,61,310,4,0,19,23,10
"Chuckie Keeton","Utah State","JR",133.400796812749,69.3877551020408,271.5,55,196,2,3,18,20,6
"Joe Licata","Buffalo","SO",133.054545454545,60.6779661016949,221.6,24,295,5,2,20,21,10
"Terrell Robinson","Chattanooga","JR",132.733333333333,100,71,4,2,0,0,0,0,1
"Tajh Boyd","Clemson","SR",132.349191685912,66.6666666666667,320.8,115,318,7,4,24,32,10
"Joe Southwick","Boise State","SR",132.258064516129,72.3300970873786,242.857142857143,42,206,5,2,11,14,6
"Neal Burcham","SMU","FR",132.08,80,31,0,5,0,0,0,0,1
"Tyler Tettleton","Ohio","SR",131.673311897106,64.2857142857143,223.1,31,280,7,1,17,17,10
"Seth Russell","Baylor","FR",131.367164179104,60.4651162790698,82,24,43,3,3,3,6,7
"Jake Rodrigues","Oregon","FR",131.2,50,52.5,4,6,1,0,1,1,2
"Corey Robinson","Troy","SR",131.112037037037,67.1679197994987,271,33,399,9,3,19,20,11
"Rakeem Cato","Marshall","JR",131.045794392523,60.2816901408451,303.9,73,355,7,5,28,32,10
