Date,WL,PF,Opponent,PA,Location,Notes,Year,Team,offName,Home,Week
8/23/14,W,56,Sam Houston St. (TX),35,"Cheney, WA",,2014,Eastern Washington,Eastern Washington University,1,1
8/23/14,L,35,Eastern Washington,56,"Huntsville, TX",,2014,Sam Houston St. (TX),Sam Houston State University,0,1
8/27/14,W,38,Abilene Christian (TX),37,"Atlanta, GA",,2014,Georgia St.,Georgia State University,1,1
8/27/14,L,37,Georgia St.,38,"Abilene, TX",,2014,Abilene Christian (TX),Abilene Christian University,0,1
8/28/14,W,37,Vanderbilt (TN),7,"Philadelphia, PA",,2014,Temple (PA),Temple University,0,1
8/28/14,L,31,Tulsa (OK),38,"New Orleans, LA",,2014,Tulane (LA),Tulane University,0,1
8/28/14,W,38,Tulane (LA),31,"Tulsa, OK",,2014,Tulsa (OK),University of Tulsa,1,1
8/28/14,L,10,Louisiana-Monroe,17,"Winston-Salem, NC",,2014,Wake Forest (NC),Wake Forest University,0,1
8/28/14,W,42,Eastern Illinois,20,"Minneapolis, MN",,2014,Minnesota,University of Minnesota: Twin Cities,1,1
8/28/14,W,41,Washington St.,38,"New Brunswick, NJ",,2014,Rutgers (NJ),Rutgers,0,1
8/28/14,W,41,Howard (DC),0,"Akron, OH",,2014,Akron (OH),University of Akron,1,1
8/28/14,W,20,Tennessee-Chattanooga,16,"Mount Pleasant, MI",,2014,Central Michigan,Central Michigan University,1,1
8/28/14,W,55,Presbyterian (SC),3,"DeKalb, IL",,2014,Northern Illinois,Northern Illinois University,1,1
8/28/14,L,13,Mississippi,35,"Boise, ID",,2014,Boise St. (ID),Boise State University,1,1
8/28/14,W,42,North Dakota,10,NA,,2014,NA,NA,1,1
8/28/14,W,45,Weber St. (UT),14,"Tempe, AZ",,2014,Arizona St.,Arizona State University,1,1
8/28/14,W,56,Idaho St.,14,"Salt Lake City, UT",,2014,Utah,University of Utah,1,1
8/28/14,L,38,Rutgers (NJ),41,"Pullman, WA",,2014,Washington St.,Washington State University,1,1
8/28/14,W,35,Boise St. (ID),13,"Oxford, MS",,2014,Mississippi,University of Mississippi,1,1
8/28/14,L,28,Texas A&M,52,"Columbia, SC",,2014,South Carolina,University of South Carolina-Columbia,1,1
8/28/14,W,52,South Carolina,28,"College Station, TX",,2014,Texas A&M,Texas A&M University,0,1
8/28/14,L,7,Temple (PA),37,"Nashville, TN",,2014,Vanderbilt (TN),Vanderbilt University,1,1
8/28/14,W,17,Wake Forest (NC),10,"Monroe, LA",,2014,Louisiana-Monroe,University of Louisiana at Monroe,1,1
8/28/14,W,28,Cal Poly-San Luis Obispo,10,"Las Cruces, NM",,2014,New Mexico St.,New Mexico State University,1,1
8/28/14,L,10,New Mexico St.,28,"San Luis Obispo, CA",,2014,Cal Poly-San Luis Obispo,California Polytechnic State University: San Luis Obispo,0,1
8/28/14,L,14,Utah,56,"Pocatello, ID",,2014,Idaho St.,Idaho State University,0,1
8/28/14,L,10,San Jose St. (CA),42,"Grand Forks, ND",,2014,North Dakota,University of North Dakota,0,1
8/28/14,L,14,Arizona St.,45,"Ogden, UT",,2014,Weber St. (UT),Weber State University,0,1
8/28/14,L,3,Northern Illinois,55,"Clinton, SC",,2014,Presbyterian (SC),Presbyterian College,0,1
8/28/14,L,7,Bryant (RI),13,"Stony Brook, NY",,2014,SUNY-Stony Brook (NY),State University of New York at Stony Brook,1,1
8/28/14,W,33,Campbell (NC),9,"Charlotte, NC",,2014,North Carolina-Charlotte,The University of North Carolina at Charlotte,0,1
8/28/14,L,0,Akron (OH),41,"Washington, DC",,2014,Howard (DC),Howard University,0,1
