"","Win","Date","Team","Opponent","ScoreOff","ScoreDef","Home","Week"
"1",0,2016-08-26,"Hawaii","California",31,51,1,1
"2",1,2016-08-26,"California","Hawaii",51,31,1,1
"3",0,2016-08-27,"Charleston Southern (SC)","North Dakota St.",17,24,0,1
"4",1,2016-08-27,"North Dakota St.","Charleston Southern (SC)",24,17,1,1
"5",1,2016-09-01,"Cincinnati (OH)","Tennessee-Martin",28,7,1,1
"6",1,2016-09-01,"Connecticut","Maine",24,21,1,1
"7",0,2016-09-01,"Tulane (LA)","Wake Forest (NC)",3,7,0,1
"8",1,2016-09-01,"Louisville (KY)","North Carolina-Charlotte",70,14,1,1
"9",1,2016-09-01,"North Carolina St.","William & Mary (VA)",48,14,1,1
"10",1,2016-09-01,"Wake Forest (NC)","Tulane (LA)",7,3,1,1
"11",1,2016-09-01,"Indiana","Florida International",34,13,0,1
"12",1,2016-09-01,"Minnesota","Oregon St.",30,23,1,1
"13",0,2016-09-01,"North Carolina-Charlotte","Louisville (KY)",14,70,0,1
"14",0,2016-09-01,"Rice (TX)","Western Kentucky",14,46,0,1
"15",1,2016-09-01,"Western Kentucky","Rice (TX)",46,14,1,1
"16",0,2016-09-01,"Florida International","Indiana",13,34,1,1
"17",1,2016-09-01,"Central Michigan","Presbyterian (SC)",49,3,1,1
"18",1,2016-09-01,"Nevada-Las Vegas","Jackson St. (MS)",63,13,1,1
"19",1,2016-09-01,"Utah St.","Weber St. (UT)",45,6,1,1
"20",0,2016-09-01,"Oregon St.","Minnesota",23,30,0,1
"21",1,2016-09-01,"Utah","Southern Utah",24,0,1,1
"22",1,2016-09-01,"New Mexico","South Dakota",48,21,1,1
"23",1,2016-09-01,"South Carolina","Vanderbilt (TN)",13,10,0,1
"24",1,2016-09-01,"Tennessee","Appalachian State (NC)",20,13,1,1
"25",0,2016-09-01,"Vanderbilt (TN)","South Carolina",10,13,1,1
"26",1,2016-09-01,"Idaho","Montana St.",20,17,1,1
"27",0,2016-09-01,"Appalachian State (NC)","Tennessee",13,20,0,1
"28",0,2016-09-01,"Montana St.","Idaho",17,20,0,1
"29",0,2016-09-01,"North Dakota","SUNY-Stony Brook (NY)",9,13,0,1
"30",0,2016-09-01,"Southern Utah","Utah",0,24,0,1
