"Win","Date","Team","Opponent","ScoreOff","ScoreDef","Home"
1,2018-09-01,"Houston (TX)","Rice (TX)",45,27,0
1,2018-09-08,"Houston (TX)","Arizona",45,18,1
0,2018-09-15,"Houston (TX)","Texas Tech",49,63,0
1,2018-09-22,"Houston (TX)","Texas Southern",70,14,1
1,2018-10-04,"Houston (TX)","Tulsa (OK)",41,26,1
1,2018-10-13,"Houston (TX)","East Carolina (NC)",42,20,0
1,2018-10-20,"Houston (TX)","Navy (MD)",49,36,0
1,2018-10-27,"Houston (TX)","South Florida",57,36,1
0,2018-11-03,"Houston (TX)","Southern Methodist (TX)",31,45,0
0,2018-11-10,"Houston (TX)","Temple (PA)",49,59,1
1,2018-11-15,"Houston (TX)","Tulane (LA)",48,17,1
0,2018-11-23,"Houston (TX)","Memphis (TN)",31,52,0
0,2018-12-22,"Houston (TX)","Army (NY)",14,70,1
0,2018-09-02,"East Carolina (NC)","North Carolina A&T",23,28,1
1,2018-09-08,"East Carolina (NC)","North Carolina",41,19,1
0,2018-09-22,"East Carolina (NC)","South Florida",13,20,0
1,2018-09-29,"East Carolina (NC)","Old Dominion (VA)",37,35,1
0,2018-10-06,"East Carolina (NC)","Temple (PA)",6,49,0
0,2018-10-13,"East Carolina (NC)","Houston (TX)",20,42,1
0,2018-10-20,"East Carolina (NC)","Central Florida",10,37,1
0,2018-11-03,"East Carolina (NC)","Memphis (TN)",41,59,1
0,2018-11-10,"East Carolina (NC)","Tulane (LA)",18,24,0
1,2018-11-17,"East Carolina (NC)","Connecticut",55,21,1
0,2018-11-23,"East Carolina (NC)","Cincinnati (OH)",6,56,0
0,2018-12-01,"East Carolina (NC)","North Carolina St.",3,58,0
0,2018-09-01,"Navy (MD)","Hawaii",41,59,0
1,2018-09-08,"Navy (MD)","Memphis (TN)",22,21,1
1,2018-09-15,"Navy (MD)","Lehigh (PA)",51,21,1
0,2018-09-22,"Navy (MD)","Southern Methodist (TX)",30,31,0
0,2018-10-06,"Navy (MD)","Air Force (CO)",7,35,0
0,2018-10-13,"Navy (MD)","Temple (PA)",17,24,1
0,2018-10-20,"Navy (MD)","Houston (TX)",36,49,1
0,2018-10-27,"Navy (MD)","Notre Dame (IN)",22,44,1
0,2018-11-03,"Navy (MD)","Cincinnati (OH)",0,42,0
0,2018-11-10,"Navy (MD)","Central Florida",24,35,0
1,2018-11-17,"Navy (MD)","Tulsa (OK)",37,29,1
0,2018-11-24,"Navy (MD)","Tulane (LA)",28,29,0
0,2018-12-08,"Navy (MD)","Army (NY)",10,17,1
0,2018-09-01,"Southern Methodist (TX)","North Texas",23,46,0
0,2018-09-07,"Southern Methodist (TX)","Texas Christian",12,42,1
0,2018-09-15,"Southern Methodist (TX)","Michigan",20,45,0
1,2018-09-22,"Southern Methodist (TX)","Navy (MD)",31,30,1
1,2018-09-29,"Southern Methodist (TX)","Houston Baptist (TX)",63,27,1
0,2018-10-06,"Southern Methodist (TX)","Central Florida",20,48,0
1,2018-10-20,"Southern Methodist (TX)","Tulane (LA)",27,23,0
0,2018-10-27,"Southern Methodist (TX)","Cincinnati (OH)",20,26,1
1,2018-11-03,"Southern Methodist (TX)","Houston (TX)",45,31,1
1,2018-11-10,"Southern Methodist (TX)","Connecticut",62,50,0
0,2018-11-16,"Southern Methodist (TX)","Memphis (TN)",18,28,1
0,2018-11-24,"Southern Methodist (TX)","Tulsa (OK)",24,27,0
1,2018-09-01,"Cincinnati (OH)","UCLA",26,17,0
1,2018-09-08,"Cincinnati (OH)","Miami (OH)",21,0,0
1,2018-09-15,"Cincinnati (OH)","Alabama A&M",63,7,1
1,2018-09-22,"Cincinnati (OH)","Ohio",34,30,1
1,2018-09-29,"Cincinnati (OH)","Connecticut",49,7,0
1,2018-10-06,"Cincinnati (OH)","Tulane (LA)",37,21,1
0,2018-10-20,"Cincinnati (OH)","Temple (PA)",17,24,0
1,2018-10-27,"Cincinnati (OH)","Southern Methodist (TX)",26,20,0
1,2018-11-03,"Cincinnati (OH)","Navy (MD)",42,0,1
1,2018-11-10,"Cincinnati (OH)","South Florida",35,23,1
0,2018-11-17,"Cincinnati (OH)","Central Florida",13,38,0
1,2018-11-23,"Cincinnati (OH)","East Carolina (NC)",56,6,1
1,2018-12-31,"Cincinnati (OH)","Virginia Tech",35,31,1
1,2018-09-01,"Memphis (TN)","Mercer (GA)",66,14,1
0,2018-09-08,"Memphis (TN)","Navy (MD)",21,22,0
1,2018-09-14,"Memphis (TN)","Georgia St.",59,22,1
1,2018-09-22,"Memphis (TN)","South Alabama",52,35,1
0,2018-09-28,"Memphis (TN)","Tulane (LA)",24,40,0
1,2018-10-06,"Memphis (TN)","Connecticut",55,14,1
0,2018-10-13,"Memphis (TN)","Central Florida",30,31,1
0,2018-10-20,"Memphis (TN)","Missouri",33,65,0
1,2018-11-03,"Memphis (TN)","East Carolina (NC)",59,41,0
1,2018-11-10,"Memphis (TN)","Tulsa (OK)",47,21,1
1,2018-11-16,"Memphis (TN)","Southern Methodist (TX)",28,18,0
1,2018-11-23,"Memphis (TN)","Houston (TX)",52,31,1
0,2018-12-01,"Memphis (TN)","Central Florida",41,56,0
0,2018-12-22,"Memphis (TN)","Wake Forest (NC)",34,37,1
0,2018-08-30,"Tulane (LA)","Wake Forest (NC)",17,23,1
1,2018-09-08,"Tulane (LA)","Nicholls St. (LA)",42,17,1
0,2018-09-15,"Tulane (LA)","Alabama-Birmingham",24,31,0
0,2018-09-22,"Tulane (LA)","Ohio St.",6,49,0
1,2018-09-28,"Tulane (LA)","Memphis (TN)",40,24,1
0,2018-10-06,"Tulane (LA)","Cincinnati (OH)",21,37,0
0,2018-10-20,"Tulane (LA)","Southern Methodist (TX)",23,27,1
1,2018-10-27,"Tulane (LA)","Tulsa (OK)",24,17,0
1,2018-11-03,"Tulane (LA)","South Florida",41,15,0
1,2018-11-10,"Tulane (LA)","East Carolina (NC)",24,18,1
0,2018-11-15,"Tulane (LA)","Houston (TX)",17,48,0
1,2018-11-24,"Tulane (LA)","Navy (MD)",29,28,1
1,2018-12-15,"Tulane (LA)","Louisiana-Lafayette",41,24,1
0,2018-09-01,"Temple (PA)","Villanova (PA)",17,19,1
0,2018-09-08,"Temple (PA)","Buffalo (NY)",29,36,1
1,2018-09-15,"Temple (PA)","Maryland",35,14,0
1,2018-09-20,"Temple (PA)","Tulsa (OK)",31,17,1
0,2018-09-29,"Temple (PA)","Boston College (MA)",35,45,0
1,2018-10-06,"Temple (PA)","East Carolina (NC)",49,6,1
1,2018-10-13,"Temple (PA)","Navy (MD)",24,17,0
1,2018-10-20,"Temple (PA)","Cincinnati (OH)",24,17,1
0,2018-11-01,"Temple (PA)","Central Florida",40,52,0
1,2018-11-10,"Temple (PA)","Houston (TX)",59,49,0
1,2018-11-17,"Temple (PA)","South Florida",27,17,1
1,2018-11-24,"Temple (PA)","Connecticut",57,7,0
0,2018-12-27,"Temple (PA)","Duke (NC)",27,56,1
1,2018-09-01,"South Florida","Elon (NC)",34,14,1
1,2018-09-08,"South Florida","Georgia Tech",49,38,1
1,2018-09-15,"South Florida","Illinois",25,19,1
1,2018-09-22,"South Florida","East Carolina (NC)",20,13,1
1,2018-10-06,"South Florida","Massachusetts",58,42,0
1,2018-10-12,"South Florida","Tulsa (OK)",25,24,0
1,2018-10-20,"South Florida","Connecticut",38,30,1
0,2018-10-27,"South Florida","Houston (TX)",36,57,0
0,2018-11-03,"South Florida","Tulane (LA)",15,41,1
0,2018-11-10,"South Florida","Cincinnati (OH)",23,35,0
0,2018-11-17,"South Florida","Temple (PA)",17,27,0
0,2018-11-23,"South Florida","Central Florida",10,38,1
0,2018-12-20,"South Florida","Marshall (WV)",20,38,1
0,2018-08-30,"Connecticut","Central Florida",17,56,1
0,2018-09-08,"Connecticut","Boise St. (ID)",7,62,0
1,2018-09-15,"Connecticut","Rhode Island",56,49,1
0,2018-09-22,"Connecticut","Syracuse (NY)",21,51,0
0,2018-09-29,"Connecticut","Cincinnati (OH)",7,49,1
0,2018-10-06,"Connecticut","Memphis (TN)",14,55,0
0,2018-10-20,"Connecticut","South Florida",30,38,0
0,2018-10-27,"Connecticut","Massachusetts",17,22,1
0,2018-11-03,"Connecticut","Tulsa (OK)",19,49,0
0,2018-11-10,"Connecticut","Southern Methodist (TX)",50,62,1
0,2018-11-17,"Connecticut","East Carolina (NC)",21,55,0
0,2018-11-24,"Connecticut","Temple (PA)",7,57,1
1,2018-08-30,"Central Florida","Connecticut",56,17,0
1,2018-09-08,"Central Florida","South Carolina St.",38,0,1
1,2018-09-21,"Central Florida","Florida Atlantic",56,36,1
1,2018-09-29,"Central Florida","Pittsburgh (PA)",45,14,1
1,2018-10-06,"Central Florida","Southern Methodist (TX)",48,20,1
1,2018-10-13,"Central Florida","Memphis (TN)",31,30,0
1,2018-10-20,"Central Florida","East Carolina (NC)",37,10,0
1,2018-11-01,"Central Florida","Temple (PA)",52,40,1
1,2018-11-10,"Central Florida","Navy (MD)",35,24,1
1,2018-11-17,"Central Florida","Cincinnati (OH)",38,13,1
1,2018-11-23,"Central Florida","South Florida",38,10,0
1,2018-12-01,"Central Florida","Memphis (TN)",56,41,1
0,2019-01-01,"Central Florida","Louisiana St.",32,40,1
1,2018-09-01,"Tulsa (OK)","Central Arkansas",38,27,1
0,2018-09-08,"Tulsa (OK)","Texas",21,28,0
0,2018-09-15,"Tulsa (OK)","Arkansas St.",20,29,1
0,2018-09-20,"Tulsa (OK)","Temple (PA)",17,31,0
0,2018-10-04,"Tulsa (OK)","Houston (TX)",26,41,0
0,2018-10-12,"Tulsa (OK)","South Florida",24,25,1
0,2018-10-20,"Tulsa (OK)","Arkansas",0,23,0
0,2018-10-27,"Tulsa (OK)","Tulane (LA)",17,24,1
1,2018-11-03,"Tulsa (OK)","Connecticut",49,19,1
0,2018-11-10,"Tulsa (OK)","Memphis (TN)",21,47,0
0,2018-11-17,"Tulsa (OK)","Navy (MD)",29,37,0
1,2018-11-24,"Tulsa (OK)","Southern Methodist (TX)",27,24,1
1,2018-08-31,"Duke (NC)","Army (NY)",34,14,1
1,2018-09-08,"Duke (NC)","Northwestern (IL)",21,7,0
1,2018-09-15,"Duke (NC)","Baylor (TX)",40,27,0
1,2018-09-22,"Duke (NC)","North Carolina Central",55,13,1
0,2018-09-29,"Duke (NC)","Virginia Tech",14,31,1
1,2018-10-13,"Duke (NC)","Georgia Tech",28,14,0
0,2018-10-20,"Duke (NC)","Virginia",14,28,1
0,2018-10-27,"Duke (NC)","Pittsburgh (PA)",45,54,0
1,2018-11-03,"Duke (NC)","Miami (FL)",20,12,0
1,2018-11-10,"Duke (NC)","North Carolina",42,35,1
0,2018-11-17,"Duke (NC)","Clemson (SC)",6,35,0
0,2018-11-24,"Duke (NC)","Wake Forest (NC)",7,59,1
1,2018-12-27,"Duke (NC)","Temple (PA)",56,27,1
1,2018-09-01,"Boston College (MA)","Massachusetts",55,21,1
1,2018-09-08,"Boston College (MA)","Holy Cross (MA)",62,14,1
1,2018-09-13,"Boston College (MA)","Wake Forest (NC)",41,34,0
0,2018-09-22,"Boston College (MA)","Purdue (IN)",13,30,0
1,2018-09-29,"Boston College (MA)","Temple (PA)",45,35,1
0,2018-10-06,"Boston College (MA)","North Carolina St.",23,28,0
1,2018-10-13,"Boston College (MA)","Louisville (KY)",38,20,1
1,2018-10-26,"Boston College (MA)","Miami (FL)",27,14,1
1,2018-11-03,"Boston College (MA)","Virginia Tech",31,21,0
0,2018-11-10,"Boston College (MA)","Clemson (SC)",7,27,1
0,2018-11-17,"Boston College (MA)","Florida St.",21,22,0
0,2018-11-24,"Boston College (MA)","Syracuse (NY)",21,42,1
0,2018-09-03,"Florida St.","Virginia Tech",3,24,1
1,2018-09-08,"Florida St.","Samford (AL)",36,26,1
0,2018-09-15,"Florida St.","Syracuse (NY)",7,30,0
1,2018-09-22,"Florida St.","Northern Illinois",37,19,1
1,2018-09-29,"Florida St.","Louisville (KY)",28,24,0
0,2018-10-06,"Florida St.","Miami (FL)",27,28,0
1,2018-10-20,"Florida St.","Wake Forest (NC)",38,17,1
0,2018-10-27,"Florida St.","Clemson (SC)",10,59,1
0,2018-11-03,"Florida St.","North Carolina St.",28,47,0
0,2018-11-10,"Florida St.","Notre Dame (IN)",13,42,0
1,2018-11-17,"Florida St.","Boston College (MA)",22,21,1
0,2018-11-24,"Florida St.","Florida",14,41,1
1,2018-09-01,"Clemson (SC)","Furman (SC)",48,7,1
1,2018-09-08,"Clemson (SC)","Texas A&M",28,26,0
1,2018-09-15,"Clemson (SC)","Georgia Southern",38,7,1
1,2018-09-22,"Clemson (SC)","Georgia Tech",49,21,0
1,2018-09-29,"Clemson (SC)","Syracuse (NY)",27,23,1
1,2018-10-06,"Clemson (SC)","Wake Forest (NC)",63,3,0
1,2018-10-20,"Clemson (SC)","North Carolina St.",41,7,1
1,2018-10-27,"Clemson (SC)","Florida St.",59,10,0
1,2018-11-03,"Clemson (SC)","Louisville (KY)",77,16,1
1,2018-11-10,"Clemson (SC)","Boston College (MA)",27,7,0
1,2018-11-17,"Clemson (SC)","Duke (NC)",35,6,1
1,2018-11-24,"Clemson (SC)","South Carolina",56,35,1
1,2018-12-01,"Clemson (SC)","Pittsburgh (PA)",42,10,1
1,2018-12-29,"Clemson (SC)","Notre Dame (IN)",30,3,1
1,2019-01-07,"Clemson (SC)","Alabama",44,16,1
0,2018-09-01,"Louisville (KY)","Alabama",14,51,1
1,2018-09-08,"Louisville (KY)","Indiana St.",31,7,1
1,2018-09-15,"Louisville (KY)","Western Kentucky",20,17,1
0,2018-09-22,"Louisville (KY)","Virginia",3,27,0
0,2018-09-29,"Louisville (KY)","Florida St.",24,28,1
0,2018-10-05,"Louisville (KY)","Georgia Tech",31,66,1
0,2018-10-13,"Louisville (KY)","Boston College (MA)",20,38,0
0,2018-10-27,"Louisville (KY)","Wake Forest (NC)",35,56,1
0,2018-11-03,"Louisville (KY)","Clemson (SC)",16,77,0
0,2018-11-09,"Louisville (KY)","Syracuse (NY)",23,54,0
0,2018-11-17,"Louisville (KY)","North Carolina St.",10,52,1
0,2018-11-24,"Louisville (KY)","Kentucky",10,56,1
1,2018-09-01,"Virginia","Richmond (VA)",42,13,1
0,2018-09-08,"Virginia","Indiana",16,20,0
1,2018-09-15,"Virginia","Ohio",45,31,1
1,2018-09-22,"Virginia","Louisville (KY)",27,3,1
0,2018-09-29,"Virginia","North Carolina St.",21,35,0
1,2018-10-13,"Virginia","Miami (FL)",16,13,1
1,2018-10-20,"Virginia","Duke (NC)",28,14,0
1,2018-10-27,"Virginia","North Carolina",31,21,1
0,2018-11-02,"Virginia","Pittsburgh (PA)",13,23,1
1,2018-11-10,"Virginia","Liberty (VA)",45,24,1
0,2018-11-17,"Virginia","Georgia Tech",27,30,0
0,2018-11-23,"Virginia","Virginia Tech",31,34,0
1,2018-12-29,"Virginia","South Carolina",28,0,1
0,2018-09-02,"Miami (FL)","Louisiana St.",17,33,1
1,2018-09-08,"Miami (FL)","Savannah St. (GA)",77,0,1
1,2018-09-15,"Miami (FL)","Toledo (OH)",49,24,0
1,2018-09-22,"Miami (FL)","Florida International",31,17,1
1,2018-09-27,"Miami (FL)","North Carolina",47,10,1
1,2018-10-06,"Miami (FL)","Florida St.",28,27,1
0,2018-10-13,"Miami (FL)","Virginia",13,16,0
0,2018-10-26,"Miami (FL)","Boston College (MA)",14,27,0
0,2018-11-03,"Miami (FL)","Duke (NC)",12,20,1
0,2018-11-10,"Miami (FL)","Georgia Tech",21,27,0
