Date,Opponent,Projection,OppFPI,Team
10/10/15,Wyoming,0.918,-19,Air Force
10/17/15,Colorado State,0.58,-7,Air Force
10/24/15,Fresno State,0.878,-14.9,Air Force
10/31/15,Hawaii,0.645,-12.6,Air Force
11/7/15,Army,0.809,-10.8,Air Force
11/14/15,Utah State,0.549,-0.5,Air Force
11/20/15,Boise State,0.078,15.4,Air Force
11/28/15,New Mexico,0.659,-9.8,Air Force
10/10/15,Eastern Michigan,0.622,-15.4,Akron
10/17/15,Bowling Green,0.225,-1.1,Akron
10/31/15,Central Michigan,0.502,-4.8,Akron
11/7/15,Massachusetts,0.427,-9.2,Akron
11/14/15,Miami (OH),0.692,-18,Akron
11/21/15,Buffalo,0.562,-8.6,Akron
11/27/15,Kent State,0.678,-12.8,Akron
10/10/15,Arkansas,0.819,14.4,Alabama
10/17/15,Texas A&M,0.446,21.4,Alabama
10/24/15,Tennessee,0.722,17.6,Alabama
11/7/15,LSU,0.673,20.7,Alabama
11/14/15,Mississippi State,0.694,14.3,Alabama
11/21/15,Charleston Southern,0.997,,Alabama
11/28/15,Auburn,0.791,10.4,Alabama
10/10/15,Georgia State,0.902,-18,Appalachian State
10/17/15,Louisiana Monroe,0.77,-10.1,Appalachian State
10/22/15,Georgia Southern,0.596,2.5,Appalachian State
10/31/15,Troy,0.929,-15,Appalachian State
11/5/15,Arkansas State,0.741,-2.8,Appalachian State
11/14/15,Idaho,0.896,-18.9,Appalachian State
11/28/15,Louisiana Lafayette,0.89,-9.8,Appalachian State
12/5/15,South Alabama,0.897,-17.9,Appalachian State
10/10/15,Oregon State,0.807,-3.3,Arizona
10/17/15,Colorado,0.618,-0.7,Arizona
10/24/15,Washington State,0.812,-2.1,Arizona
10/31/15,Washington,0.378,6.7,Arizona
11/7/15,USC,0.063,25.6,Arizona
11/14/15,Utah,0.305,16.1,Arizona
11/21/15,Arizona State,0.324,9.8,Arizona
10/10/15,Colorado,0.839,-0.7,Arizona State
10/17/15,Utah,0.243,16.1,Arizona State
10/29/15,Oregon,0.548,11.6,Arizona State
11/7/15,Washington State,0.745,-2.1,Arizona State
11/14/15,Washington,0.693,6.7,Arizona State
11/21/15,Arizona,0.676,6.3,Arizona State
11/28/15,California,0.324,12.7,Arizona State
10/10/15,Alabama,0.181,23.9,Arkansas
10/24/15,Auburn,0.724,10.4,Arkansas
10/31/15,Tennessee-Martin,0.983,,Arkansas
11/7/15,Ole Miss,0.209,22.6,Arkansas
11/14/15,LSU,0.245,20.7,Arkansas
11/21/15,Mississippi State,0.59,14.3,Arkansas
11/27/15,Missouri,0.764,7.5,Arkansas
10/13/15,South Alabama,0.816,-17.9,Arkansas State
10/20/15,Louisiana Lafayette,0.759,-9.8,Arkansas State
10/31/15,Georgia State,0.895,-18,Arkansas State
11/5/15,Appalachian State,0.259,2.9,Arkansas State
11/14/15,Louisiana Monroe,0.648,-10.1,Arkansas State
11/28/15,New Mexico State,0.808,-16.8,Arkansas State
12/5/15,Texas State,0.8,-11,Arkansas State
10/10/15,Duke,0.13,7.8,Army
10/17/15,Bucknell,0.933,,Army
10/24/15,Rice,0.32,-9.8,Army
11/7/15,Air Force,0.191,-1.8,Army
11/14/15,Tulane,0.6,-10.4,Army
11/21/15,Rutgers,0.354,-3.3,Army
12/12/15,Navy,0.159,3.2,Army
10/15/15,Kentucky,0.563,5.4,Auburn
10/24/15,Arkansas,0.276,14.4,Auburn
10/31/15,Ole Miss,0.241,22.6,Auburn
11/7/15,Texas A&M,0.151,21.4,Auburn
11/14/15,Georgia,0.31,19.6,Auburn
11/21/15,Idaho,0.983,-18.9,Auburn
11/28/15,Alabama,0.209,23.9,Auburn
10/10/15,Northern Illinois,0.362,-2.5,Ball State
10/17/15,Georgia State,0.882,-18,Ball State
10/24/15,Central Michigan,0.591,-4.8,Ball State
10/31/15,Massachusetts,0.724,-9.2,Ball State
11/5/15,Western Michigan,0.341,-2,Ball State
11/17/15,Ohio,0.352,-1.2,Ball State
11/24/15,Bowling Green,0.478,-1.1,Ball State
10/10/15,Kansas,0.991,-14.9,Baylor
10/17/15,West Virginia,0.842,16.9,Baylor
10/24/15,Iowa State,0.971,1.4,Baylor
11/5/15,Kansas State,0.828,11.1,Baylor
11/14/15,Oklahoma,0.728,22.1,Baylor
11/21/15,Oklahoma State,0.783,13.7,Baylor
11/27/15,TCU,0.514,24,Baylor
12/5/15,Texas,0.955,4.4,Baylor
10/10/15,Colorado State,0.913,-7,Boise State
10/16/15,Utah State,0.833,-0.5,Boise State
10/24/15,Wyoming,0.99,-19,Boise State
10/31/15,UNLV,0.914,-8.4,Boise State
11/14/15,New Mexico,0.974,-9.8,Boise State
11/20/15,Air Force,0.922,-1.8,Boise State
11/27/15,San Josí€Œ© State,0.887,-4.4,Boise State
10/10/15,Wake Forest,0.757,-3.9,Boston College
10/17/15,Clemson,0.088,18.3,Boston College
10/24/15,Louisville,0.21,9.9,Boston College
10/31/15,Virginia Tech,0.357,10.2,Boston College
11/7/15,NC State,0.33,11.2,Boston College
11/21/15,Notre Dame,0.122,20.6,Boston College
11/28/15,Syracuse,0.453,1.1,Boston College
10/10/15,Massachusetts,0.795,-9.2,Bowling Green
10/17/15,Akron,0.775,-8.7,Bowling Green
10/24/15,Kent State,0.752,-12.8,Bowling Green
11/4/15,Ohio,0.582,-1.2,Bowling Green
11/11/15,Western Michigan,0.453,-2,Bowling Green
11/17/15,Toledo,0.318,7.5,Bowling Green
11/24/15,Ball State,0.522,-4.4,Bowling Green
10/17/15,Central Michigan,0.342,-4.8,Buffalo
10/24/15,Ohio,0.363,-1.2,Buffalo
10/29/15,Miami (OH),0.689,-18,Buffalo
11/5/15,Kent State,0.521,-12.8,Buffalo
11/11/15,Northern Illinois,0.396,-2.5,Buffalo
11/21/15,Akron,0.438,-8.7,Buffalo
11/27/15,Massachusetts,0.602,-9.2,Buffalo
10/10/15,East Carolina,0.795,0.3,BYU
10/16/15,Cincinnati,0.675,3.3,BYU
10/24/15,Wagner,0.997,,BYU
11/6/15,San Josí€Œ© State,0.732,-4.4,BYU
11/14/15,Missouri,0.454,7.5,BYU
11/21/15,Fresno State,0.953,-14.9,BYU
11/28/15,Utah State,0.644,-0.5,BYU
10/10/15,Utah,0.28,16.1,California
10/22/15,UCLA,0.332,16.5,California
10/31/15,USC,0.235,25.6,California
11/7/15,Oregon,0.434,11.6,California
11/14/15,Oregon State,0.909,-3.3,California
11/21/15,Stanford,0.234,20,California
11/28/15,Arizona State,0.676,9.8,California
10/10/15,Western Michigan,0.31,-2,Central Michigan
10/17/15,Buffalo,0.658,-8.6,Central Michigan
10/24/15,Ball State,0.409,-4.4,Central Michigan
10/31/15,Akron,0.498,-8.7,Central Michigan
11/10/15,Toledo,0.248,7.5,Central Michigan
11/18/15,Kent State,0.657,-12.8,Central Michigan
11/27/15,Eastern Michigan,0.821,-15.4,Central Michigan
10/17/15,Old Dominion,0.416,-18.1,Charlotte
10/24/15,Southern Mississippi,0.183,-3,Charlotte
10/31/15,Marshall,0.147,-1.2,Charlotte
11/7/15,Florida Intl,0.144,-6.8,Charlotte
11/14/15,Texas San Antonio,0.508,-15,Charlotte
11/21/15,Kentucky,0.038,5.4,Charlotte
11/28/15,Rice,0.189,-9.8,Charlotte
10/16/15,BYU,0.325,6.9,Cincinnati
10/24/15,Connecticut,0.873,-9.3,Cincinnati
10/31/15,UCF,0.869,-9.1,Cincinnati
11/7/15,Houston,0.345,5.1,Cincinnati
11/14/15,Tulsa,0.772,-3.6,Cincinnati
11/20/15,South Florida,0.707,-7.2,Cincinnati
11/28/15,East Carolina,0.494,0.3,Cincinnati
10/10/15,Georgia Tech,0.664,15.3,Clemson
10/17/15,Boston College,0.912,2.3,Clemson
10/24/15,Miami (FL),0.662,9.7,Clemson
10/31/15,NC State,0.629,11.2,Clemson
11/7/15,Florida State,0.644,16.2,Clemson
11/14/15,Syracuse,0.846,1.1,Clemson
11/21/15,Wake Forest,0.954,-3.9,Clemson
11/28/15,South Carolina,0.782,5.2,Clemson
10/10/15,Arizona State,0.161,9.8,Colorado
10/17/15,Arizona,0.382,6.3,Colorado
10/24/15,Oregon State,0.472,-3.3,Colorado
10/31/15,UCLA,0.073,16.5,Colorado
11/7/15,Stanford,0.109,20,Colorado
11/13/15,USC,0.057,25.6,Colorado
11/21/15,Washington State,0.45,-2.1,Colorado
11/28/15,Utah,0.083,16.1,Colorado
10/10/15,Boise State,0.087,15.4,Colorado State
10/17/15,Air Force,0.42,-1.8,Colorado State
10/31/15,San Diego State,0.631,-7,Colorado State
11/7/15,Wyoming,0.755,-19,Colorado State
11/14/15,UNLV,0.633,-8.4,Colorado State
11/21/15,New Mexico,0.497,-9.8,Colorado State
11/28/15,Fresno State,0.635,-14.9,Colorado State
10/10/15,UCF,0.393,-9.1,Connecticut
10/17/15,South Florida,0.546,-7.2,Connecticut
10/24/15,Cincinnati,0.127,3.3,Connecticut
10/30/15,East Carolina,0.299,0.3,Connecticut
11/7/15,Tulane,0.426,-10.4,Connecticut
11/21/15,Houston,0.246,5.1,Connecticut
11/28/15,Temple,0.093,6.7,Connecticut
10/10/15,Army,0.87,-10.8,Duke
10/24/15,Virginia Tech,0.386,10.2,Duke
10/31/15,Miami (FL),0.54,9.7,Duke
11/7/15,North Carolina,0.258,13.6,Duke
11/14/15,Pittsburgh,0.574,8.1,Duke
11/21/15,Virginia,0.698,-1.7,Duke
11/28/15,Wake Forest,0.752,-3.9,Duke
10/10/15,BYU,0.205,6.9,East Carolina
10/17/15,Tulsa,0.713,-3.6,East Carolina
10/22/15,Temple,0.393,6.7,East Carolina
10/30/15,Connecticut,0.701,-9.3,East Carolina
11/7/15,South Florida,0.789,-7.2,East Carolina
11/19/15,UCF,0.685,-9.1,East Carolina
11/28/15,Cincinnati,0.506,3.3,East Carolina
10/10/15,Akron,0.378,-8.7,Eastern Michigan
10/17/15,Toledo,0.044,7.5,Eastern Michigan
10/24/15,Northern Illinois,0.13,-2.5,Eastern Michigan
10/29/15,Western Michigan,0.211,-2,Eastern Michigan
11/7/15,Miami (OH),0.498,-18,Eastern Michigan
11/14/15,Massachusetts,0.405,-9.2,Eastern Michigan
11/27/15,Central Michigan,0.179,-4.8,Eastern Michigan
10/10/15,Missouri,0.712,7.5,Florida
10/17/15,LSU,0.338,20.7,Florida
10/31/15,Georgia,0.466,19.6,Florida
11/7/15,Vanderbilt,0.893,3.8,Florida
11/14/15,South Carolina,0.776,5.2,Florida
11/21/15,Florida Atlantic,0.978,-10.2,Florida
11/28/15,Florida State,0.637,16.2,Florida
10/10/15,Rice,0.626,-9.8,Florida Atlantic
10/17/15,Marshall,0.328,-1.2,Florida Atlantic
10/24/15,UTEP,0.61,-19.3,Florida Atlantic
10/31/15,Florida Intl,0.474,-6.8,Florida Atlantic
11/7/15,Western Kentucky,0.064,8.5,Florida Atlantic
11/14/15,Middle Tennessee,0.202,4.3,Florida Atlantic
11/21/15,Florida,0.022,18.2,Florida Atlantic
11/28/15,Old Dominion,0.638,-18.1,Florida Atlantic
10/10/15,UTEP,0.882,-19.3,Florida Intl
10/17/15,Middle Tennessee,0.147,4.3,Florida Intl
10/24/15,Old Dominion,0.855,-18.1,Florida Intl
10/31/15,Florida Atlantic,0.526,-10.2,Florida Intl
11/7/15,Charlotte,0.856,-18.3,Florida Intl
11/14/15,Marshall,0.25,-1.2,Florida Intl
11/21/15,Western Kentucky,0.166,8.5,Florida Intl
10/10/15,Miami (FL),0.751,9.7,Florida State
10/17/15,Louisville,0.727,9.9,Florida State
10/24/15,Georgia Tech,0.446,15.3,Florida State
10/31/15,Syracuse,0.905,1.1,Florida State
11/7/15,Clemson,0.356,18.3,Florida State
